ID_EQ_ESP;NOME;NOME_POPULAR;TIPO;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;NOME_BAIRRO_POPULAR;REF_LOGRADOURO;GEOMETRIA;GESTOR_EQUIP_ESPORT
1734;ACADEMIA DA PRAÇA GUARÁ;;ACADEMIA A CÉU ABERTO;PRACA;GUARA;;;HORTO FLORESTAL;ESQUINA RUAS CONSELHEIRO ROCHA E SILVA FREIRE;POINT (613764.61 7798657.28);
1659;ACADEMIA DA PRAÇA SÃO MARCOS;;ACADEMIA A CÉU ABERTO;PRACA;SAO MARCOS;;;VILA NOVA PARAÍSO;ESQUINA RUAS PARAÍSO E SÃO MARCOS;POINT (606191.26 7790673.25);
1473;ACADEMIA DA PRAÇA CARDOSO;;ACADEMIA A CÉU ABERTO;PRACA;CARDOSO;;;SANTA EFIGÊNIA;ESQUINA RUAS ANIBAL BENÉVOLO E MAESTRO DELÊ ANDRADE;POINT (613728.09 7796374.77);
1628;ACADEMIA DA RUA ERVA MATE;;ACADEMIA A CÉU ABERTO;RUA;ERVA MATE;;;PIRATININGA;ESQUINA RUA CRAVO DA INDIA;POINT (605298.97 7808481.52);
1418;ACADEMIA DA RUA DAS ALMAS;;ACADEMIA A CÉU ABERTO;PRACA;UM MIL QUINHENTOS E SETENTA E SEIS;;;CONJUNTO PAULO VI;ENTRE RUAS DAS ALMAS E SANTUÁRIO;POINT (617074.0 7806539.0);
1502;ACADEMIA DA RUA RIO PETRÓPOLIS;;ACADEMIA A CÉU ABERTO;RUA;RIO PETROPOLIS;;;VILA COQUEIRAL;ESQUINA RUA ELI PINHEIRO;POINT (602007.15 7797639.48);
1361;ACADEMIA DA PRAÇA JOÃO JOSÉ DE ARAÚJO;;ACADEMIA A CÉU ABERTO;PRACA;JOAO JOSE DE ARAUJO;;;MINASCAIXA;ENTRE RUAS PADRE ADOLFO KOLPING E WALFRIDO TEIXEIREIRA SIMÕES;POINT (609068.50 7809491.38);
1417;ACADEMIA DA TRAVESSA DO DEPÓSITO;;ACADEMIA A CÉU ABERTO;TRAVESSA;DO DEPOSITO;;;MONTES CLAROS;ENTRE RUAS PADRE ARGEMIRO MOREIRA E QUINHENTOS E QUINZE;POINT (616185.0 7806724.0);
1776;ACADEMIA DA PRAÇA ROBERTO DRUMOND;;ACADEMIA A CÉU ABERTO;PRACA;ROBERTO DRUMOND;;;SERRA;ENTRE AVENIDA DO CONTORNO E RUA AMÉRICO SCOTTI;POINT (612562.21 7795505.53);
1633;ACADEMIA DA PRAÇA DA PAZ CELESTIAL;;ACADEMIA A CÉU ABERTO;PRACA;DA PAZ CELESTIAL;;;LAGOA;ESQUINA RUA RAIMUNDO GONÇALVES FIGUEIREDO;POINT (604782.40 7809341.33);
1587;ACADEMIA DA PRAÇA ANISIO MACHADO;;ACADEMIA A CÉU ABERTO;PRACA;ANISIO MACHADO;;;SÃO BERNARDO;ESQUINA RUAS CECÍLIA PINTO E EDNA QUENTEL;POINT (610448.51 7805125.78);
1554;ACADEMIA DA PRAÇA PAOLA ZANONI CARNEIRO;;ACADEMIA A CÉU ABERTO;PRACA;PAOLA ZANONI CARNEIRO;;;PLANALTO;ENTRE RUAS DAS CLARISSAS E DOM CARLOTO TÁVORA;POINT (610678.11 7805899.29);
1679;ACADEMIA DA PRAÇA DONA MARIA TERTULIANA;;ACADEMIA A CÉU ABERTO;PRACA;DONA MARIA TERTULIANA;;;LINDÉIA;ESQUINA RUAS ANTÔNIO CELESTINO DE OLIVEIRA E MIMO DO CÉU;POINT (599830.0 7790327.0);
1455;ACADEMIA DA PRAÇA ERNESTO TASSINI;;ACADEMIA A CÉU ABERTO;PRACA;ERNESTO TASSINI;;;SANTA TEREZA;ESQUINA RUA ALVINÓPOLIS;POINT (614027.18 7797429.61);
1611;ACADEMIA DA PRAÇA SANTA BÁRBARA;;ACADEMIA A CÉU ABERTO;PRACA;SANTA BARBARA;;;ITAPOÃ;ESQUINA RUAS IRLANDA E SÃO MIGUEL;POINT (608295.35 7805814.02);
1664;ACADEMIA DA PRAÇA LILE HADDAD;;ACADEMIA A CÉU ABERTO;PRACA;LILE HADDAD;;;HAVAÍ;ESQUINA RUA ESTRELITZIA;POINT (607099.71 7793294.78);
1368;ACADEMIA DA PRAÇA MARIA VILAS BOAS;;ACADEMIA A CÉU ABERTO;PRACA;MARIA VILAS BOAS;;;MANTIQUEIRA;ENTRE RUAS MARIA DE LOURDES DA CRUZ E MARIA ROSA DA SILVA;POINT (605914.24 7811000.41);
1590;ACADEMIA DA PRAÇA SILVINO PINHEIRO DA SILVA;;ACADEMIA A CÉU ABERTO;PRACA;SILVINO PINHEIRO DA SILVA;;;JARDIM GUANABARA;ENTRE RUAS JOSÉ HONORATO DE MORAES E NORMA GUILHERMINA DA SILVA;POINT (611311.17 7807620.17);
1779;ACADEMIA DA PRAÇA DEPUTADO RENATO AZEREDO;;ACADEMIA A CÉU ABERTO;PRACA;DEPUTADO RENATO AZEREDO;;;SION;ESQUINA RUA CALIFÓRNIA;POINT (611554.38 7792897.81);
1325;CAPITÃO EDUARDO;;CAMPO DE FUTEBOL;RUA;PADRE ARGEMIRO MOREIRA;;;CAPITÃO EDUARDO;PROXIMO À RUA FLORESTA TROPICAL;POINT (618121.63 7807560.97);
1476;ACADEMIA DO CANTEIRO CENTRAL DA AVENIDA DOS CLARIN;;ACADEMIA A CÉU ABERTO;AVENIDA;DOS CLARINS;;;CONJUNTO CALIFÓRNIA I;ESQUINA AVENIDA DAS CASTANHOLAS;POINT (603961.18 7796640.58);
1434;ACADEMIA DA PRAÇA MARIA NORBERTA SOARES;;ACADEMIA A CÉU ABERTO;PRACA;MARIA NORBERTA SOARES;;;DOM JOAQUIM;ESQUINA RUAS FELIPE SILVESTRE E LAURO GOMES VIDAL;POINT (613299.02 7801681.62);
1530;ACADEMIA DA VILA SENHOR DOS PASSOS;;ACADEMIA A CÉU ABERTO;RUA;NOVA SENHOR DOS PASSOS;;;SENHOR DOS PASSOS;ESQUINA BECO AMEDISTA;POINT (610001.35 7798508.69);
1498;ACADEMIA DO PARQUE DAS JABOTICABEIRAS;;ACADEMIA A CÉU ABERTO;PRACA;DOS ESPORTES;;;CORAÇÃO EUCARÍSTICO;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK;POINT (606186.05 7796570.42);
1221;PARQUE DAS JABOTICABEIRAS (PS);;PISTA DE SKATE;PRACA;DOS ESPORTES;;;CORAÇÃO EUCARÍSTICO;ENTRE RUAS DOM JOSE PEREIRA LARA E PADRE JOAO CRISOSTOMO;POINT (606174.64 7796580.2);
1594;ACADEMIA DA PRAÇA SILVINO HOYOS PILOTO;;ACADEMIA A CÉU ABERTO;PRACA;SILVINO HOYOS PILOTO;;;CAMPO ALEGRE;ESQUINA RUAS LINDOLFO COLOR E OSÓRIO DUQUE ESTRADA;POINT (610400.06 7806739.99);
1549;ACADEMIA DA PRAÇA IONE REZENDE;;ACADEMIA A CÉU ABERTO;PRACA;IONE REZENDE;;;JARDIM GUANABARA;ESQUINA RUAS GASTÃO DA COSTA PINHEIRO E JOSÉ BENJAMIM DE CASTRO;POINT (611252.64 7807085.11);
1341;PRAÇA ORVILLI OSWALDO DE GODOI;PRAÇA DO CARDOSO, BANDONION;QUADRA DE FUTSAL;PRACA;ORVILLI OSWALDO DE GODOI;;;MARÇOLA;ESQUINA  RUA BANDONION;POINT (614049.31 7794848.37);
1770;ACADEMIA DA PRAÇA ORVILLI OSWALDO DE GODOI;;ACADEMIA A CÉU ABERTO;PRACA;ORVILLI OSWALDO DE GODOI;;;MARÇOLA;ESQUINA RUA BANDONION;POINT (614088.0 7794848.0);
1567;ACADEMIA DA AVENIDA RISOLETA NEVES 2;;ACADEMIA A CÉU ABERTO;PRACA;TRES MIL E SESSENTA E TRES;;;PROVIDÊNCIA;ESQUINA RUA DOUTOR BENEDITO XAVIER;POINT (612775.24 7804218.72);
1411;ACADEMIA DA RUA TRÊS MIL E SETENTA E SEIS;ACADEMIA DA PRAÇA DO ENSINO DA VILA LEONINA;ACADEMIA A CÉU ABERTO;RUA;TRES MIL E SETENTA E SEIS;;;PAULO VI;FINAL DA RUA;POINT (616174.15 7805976.56);
1425;ACADEMIA DA PRAÇA TIÃO DOS SANTOS;PARQUE TIÃO DOS SANTOS;ACADEMIA A CÉU ABERTO;PRACA;TIAO DOS SANTOS;;;SÃO GABRIEL;ESQUINA RUAS OPERÁRIO SILVA E SANTOS ANJOS;POINT (613548.94 7803992.83);
1438;ACADEMIA DA PRAÇA PEDRO DE CARVALHO JÚNIOR;;ACADEMIA A CÉU ABERTO;PRACA;PEDRO DE CARVALHO JUNIOR;;;EYMARD;ESQUINA RUAS EXPEDICIONÁRIO HÉLIO PEREIRA E IMPÉRIO;POINT (613378.07 7803429.46);
1556;ACADEMIA DA PRAÇA MIRANTE DO CAMARGOS;;ACADEMIA A CÉU ABERTO;PRACA;MIRANTE DO CAMARGOS;;;CAMARGOS;ESQUINA RUAS ADELINO GALDINO QUIRINO E DESEMBARGADOR ALONSO STARLING;POINT (602959.67 7794533.55);
1547;ACADEMIA DA PRAÇA DA SOLIDARIEDADE;;ACADEMIA A CÉU ABERTO;PRACA;DA SOLIDARIEDADE;;;SÃO BERNARDO;ESQUINA RUAS HENRIQUE TANN E SOUZA GOMES;POINT (610664.16 7804916.0);
