ID_EQUIP_EDUCACAO;NOME;DEPENDENCIA_ADM;CODIGO_INEP;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;REGIONAL;GEOMETRIA
1983221;ASSOCIAÇÃO ARCO ENCANTADO;Creches Conveniadas;31375543;RUA;RADIALISTA MARIO MARCOS;49;;Céu Azul;VENDA NOVA;POINT (604534.06 7808230.83)
1982213;CENTRO INFANTIL LAR FELIZ;Creches Conveniadas;31004081;RUA;MADRE PAULINA;64;;Diamante;BARREIRO;POINT (601195.91 7789877.45)
1982988;CRECHE CASA DA CRIANCA;Creches Conveniadas;31308722;RUA;CARLOS ETIENE DE CASTRO;33;;Marçola;CENTRO-SUL;POINT (613934.32 7794986.10)
1983117;EMEI SERRA VERDE;EMEIS;31362190;RUA;JOSE MACHADO RIBEIRO;94;;Cenáculo;VENDA NOVA;POINT (608767.92 7809885.28)
1983052;EMEI LUCAS MONTEIRO MACHADO;EMEIS;31357383;RUA;SOLDADO WEVERSON DE ALMEIDA;350;;Vila Pinho;BARREIRO;POINT (601762.67 7788294.43)
1983402;ESTRELINHA BRILHANTE;Creches Conveniadas;31378003;RUA;ODILON MELO FRANCO;438;;Goiânia;NORDESTE;POINT (615262.09 7803442.56)
1983403;IES;Creches Conveniadas;31377880;RUA;RADIALISTA CAETANO SILVA;105;;Céu Azul;VENDA NOVA;POINT (604897.08 7807448.48)
1983091;EMEI MINASLÂNDIA;EMEIS;31357758;RUA;MARIA MADALENA ESTEVES;95;;Minaslândia;NORTE;POINT (611840.47 7804581.97)
1981811;ESCOLA MUNICIPAL ADAUTO LUCIO CARDOSO;Municipal;31003450;RUA;ERNESTO GAZZOLLI;164;;Céu Azul;VENDA NOVA;POINT (604936.45 7808572.99)
1981762;ESCOLA MUNICIPAL DESEMBARGADOR LORETO RIBEIRO DE ABREU;Municipal;31003573;RUA;MARCOS DONATO DE LIMA;520;;Ribeiro de Abreu;NORTE;POINT (615013.50 7808345.83)
1982080;INSTITUTO EDUCACIONAL PING-PONG;Creches Conveniadas;31324566;RUA;AUGUSTA ANDRADE LAGE;1197;;Jaqueline;NORTE;POINT (611776.51 7810502.71)
1982204;ESCOLA MUNICIPAL JULIA PARAISO;Municipal;31003026;RUA;TIES;100;;Alípio de Melo;PAMPULHA;POINT (604053.06 7799733.39)
1983073;EMEI JARDIM VITÓRIA II;EMEIS;31361909;RUA;LOURDES GONCALVES BARBOSA;785;;Jardim Vitória;NORDESTE;POINT (617616.65 7803677.97)
1981712;ESCOLA MUNICIPAL JARDIM VITORIA;Municipal;31362581;RUA;LOURDES GONCALVES BARBOSA;160;;Jardim Vitória;NORDESTE;POINT (618096.19 7803893.97)
1983106;EMEI CALIFÓRNIA;EMEIS;31357669;RUA;QUATRO MIL QUATROCENTOS E VINTE E NOVE;155;;Vila Califórnia;NOROESTE;POINT (603728.02 7796923.33)
1981976;ESCOLA MUNICIPAL VILA FAZENDINHA;Municipal;31330868;RUA;PAULO DE SOUZA;51;;Fazendinha;CENTRO-SUL;POINT (614476.31 7795769.77)
1982261;ESCOLA MUNICIPAL MARIA DE REZENDE COSTA;Municipal;31003166;AVENIDA;ABILIO MACHADO;1009;;Glória;NOROESTE;POINT (604681.60 7798572.56)
1982060;CENTRO INFANTIL NOSSA SENHORA MENINA;Creches Conveniadas;31329339;RUA;GIL EANES;77;;Taquaril;LESTE;POINT (616977.19 7797020.32)
1981974;ESCOLA MUNICIPAL ACADEMICO VIVALDI MOREIRA;Municipal;31312614;RUA;AGENOR DE PAULA ESTRELA;393;;Jaqueline;NORTE;POINT (610991.32 7809637.76)
1983263;"INSTITUTO BETÂNIA PRIMEIROS PASSOS
";Creches Conveniadas;31377007;RUA;PADRE PEDRO PINTO;2435;;Candelária;VENDA NOVA;POINT (607882.28 7809420.03)
1983147;EMEI PARAÚNAS;EMEIS;31358053;RUA;PADRE PEDRO PINTO;5700;;Maria Helena;VENDA NOVA;POINT (605965.78 7809972.67)
1982537;CENTRO EDUCACIONAL ALICERCE PARA VIDA;Creches Conveniadas;31289922;RUA;PADRE PEDRO PINTO;1251;;Venda Nova;VENDA NOVA;POINT (608773.25 7808767.36)
1981908;ESCOLA MUNICIPAL DOM JAIME DE BARROS CAMARA;Municipal;31003310;RUA;FREDERICO BRACHER JUNIOR;123;;Carlos Prates;NOROESTE;POINT (608010.26 7797549.58)
1982068;CRECHE ASSISTENCIAL SÃO BERNARDO;Creches Conveniadas;31281387;RUA;ARMANDO RIBEIRO DOS SANTOS;105;;São Bernardo;NORTE;POINT (611052.08 7804826.59)
1983132;EMEI VILA CONCEIÇÃO;EMEIS;31357421;RUA;CORONEL ALVINO ALVIM DE MENEZES;111;;Nossa Senhora do Rosário;CENTRO-SUL;POINT (613513.61 7795564.80)
1981863;ESCOLA MUNICIPAL MONTEIRO LOBATO;Municipal;31002909;RUA;SANTA APOLONIA;120;;São Marcos;NORDESTE;POINT (614102.25 7802015.10)
